Flight,Acc,Acc,Acc,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,,,,TelemPro,LineOfSight,DownLink
time,acceleration,velocity,altitude,altitude,altitude,3D velocity,3D velocity,vertical vel,ground speed,heading,tilt,latitude,longitude,number,fix,UTC,UTC,UTC,time,Distance,SignalStrength
sec,G's,feet/sec,feet AGL,feet AGL,feet MSL,feet/sec,Mach,feet/sec,feet/sec,degrees,degrees,degrees,degrees,of sat's,status,hours,minutes,seconds,stamp,feet,dBm
10,-1.355469,645,4852,4594,6657,638.99,0.586,625,133,271,12.01,35.34712,-117.8117317,12,6,17,45,51.8,1183128,4691,-69
10.2,-1.414062,636,4980,4718,6781,630.96,0.579,617,132,271,12.08,35.34712167,-117.81182,12,6,17,45,52,1183148,4818,-70
10.4,-1.414062,627,5107,4841,6904,621.95,0.571,608,131,271,12.16,35.34712333,-117.8119083,12,6,17,45,52.2,1183168,4944,-71
10.6,-1.414062,618,5231,4962,7025,613.92,0.564,600,130,271,12.23,35.347125,-117.811995,12,6,17,45,52.4,1183188,5068,-72
10.8,-1.296875,609,5354,5081,7144,605.89,0.557,592,129,272,12.29,35.34712667,-117.8120833,12,6,17,45,52.6,1183208,5189,-71
11,-1.355469,601,5475,5199,7262,597.86,0.549,584,128,272,12.36,35.34712833,-117.8121683,12,6,17,45,52.8,1183228,5310,-74
11.2,-1.296875,592,5595,5315,7378,588.86,0.541,575,127,272,12.45,35.34713,-117.812255,12,6,17,45,53,1183248,5429,-74
11.41,-1.296875,584,5718,5429,7492,580.83,0.534,567,126,271,12.53,35.34713167,-117.81234,12,6,17,45,53.2,1183269,5546,-73
11.6,-1.355469,576,5829,5542,7605,573.02,0.527,559,126,272,12.7,35.347135,-117.8124233,12,6,17,45,53.4,1183288,5661,-72
11.8,-1.296875,567,5943,5654,7717,565,0.52,551,125,271,12.78,35.34713667,-117.8125083,12,6,17,45,53.6,1183308,5776,-71
12,-1.179688,559,6056,5763,7826,556.98,0.513,543,124,271,12.86,35.34713833,-117.8125917,12,6,17,45,53.8,1183328,5888,-72
12.21,-1.296875,550,6173,5871,7934,548.96,0.506,535,123,271,12.95,35.34714,-117.812675,12,6,17,45,54,1183349,5998,-71
12.41,-1.238281,542,6282,5978,8041,541.16,0.499,527,123,271,13.14,35.34714167,-117.8127567,12,6,17,45,54.2,1183369,6108,-71
12.6,-1.296875,535,6384,6083,8146,534.12,0.492,520,122,271,13.2,35.34714333,-117.8128383,12,6,17,45,54.4,1183388,6216,-71
12.8,-1.238281,526,6491,6186,8249,526.1,0.485,512,121,271,13.3,35.34714333,-117.81292,12,6,17,45,54.6,1183408,6322,-71
13,-1.296875,518,6595,6288,8351,518.32,0.478,504,121,271,13.5,35.347145,-117.8130017,12,6,17,45,54.8,1183428,6427,-70
13.2,-1.296875,510,6698,6388,8451,510.55,0.471,496,121,271,13.71,35.347145,-117.8130833,12,6,17,45,55,1183448,6529,-70
13.4,-1.296875,502,6800,6487,8550,502.54,0.464,488,120,271,13.82,35.34714667,-117.8131633,12,6,17,45,55.2,1183468,6631,-69
13.6,-1.238281,495,6899,6584,8647,495.74,0.458,481,120,270,14.01,35.34714667,-117.813245,12,6,17,45,55.4,1183488,6731,-71
13.8,-1.179688,487,6998,6679,8742,487.98,0.451,473,120,270,14.24,35.34714833,-117.813325,12,6,17,45,55.6,1183508,6829,-70
14,-1.179688,479,7094,6773,8836,480.23,0.444,465,120,270,14.47,35.34714833,-117.813405,12,6,17,45,55.8,1183528,6926,-68
14.2,-1.238281,471,7190,6866,8929,473.46,0.438,458,120,270,14.68,35.34714833,-117.8134867,12,6,17,45,56,1183548,7022,-68
14.4,-1.238281,463,7283,6957,9020,465.73,0.431,450,120,270,14.93,35.34714833,-117.8135667,12,6,17,45,56.2,1183568,7116,-67
14.6,-1.238281,455,7375,7046,9109,457.74,0.423,442,119,270,15.07,35.34714833,-117.8136467,12,6,17,45,56.4,1183588,7208,-66
14.8,-1.117188,448,7466,7134,9197,450.98,0.417,435,119,270,15.3,35.34715,-117.8137267,12,6,17,45,56.6,1183608,7299,-67
15,-1.179688,440,7555,7220,9283,443.27,0.41,427,119,270,15.57,35.34715,-117.8138067,12,6,17,45,56.8,1183628,7388,-68
15.2,-1.117188,433,7642,7305,9368,436.53,0.404,420,119,270,15.82,35.34715,-117.8138867,12,6,17,45,57,1183648,7476,-68
15.4,-1.117188,425,7728,7389,9452,428.84,0.397,412,119,270,16.11,35.34715,-117.8139667,12,6,17,45,57.2,1183668,7563,-66
15.61,-1.117188,417,7817,7471,9534,422.12,0.391,405,119,270,16.37,35.34715167,-117.814045,12,6,17,45,57.4,1183689,7648,-66
15.8,-1.179688,410,7895,7551,9614,415.41,0.385,398,119,270,16.65,35.34715167,-117.814125,12,6,17,45,57.6,1183708,7731,-66
16,-1.117188,403,7977,7630,9693,407.46,0.378,390,118,271,16.83,35.34715167,-117.814205,12,6,17,45,57.8,1183728,7814,-66
16.2,-1.117188,396,8057,7707,9770,400.77,0.372,383,118,271,17.12,35.34715333,-117.8142833,12,6,17,45,58,1183748,7894,-65
16.4,-1.179688,388,8135,7783,9846,394.08,0.366,376,118,271,17.42,35.34715333,-117.8143633,12,6,17,45,58.2,1183768,7974,-65
16.6,-1.117188,381,8212,7858,9921,387.41,0.359,369,118,271,17.73,35.347155,-117.8144433,12,6,17,45,58.4,1183788,8052,-68
16.8,-1.179688,373,8288,7931,9994,380.75,0.353,362,118,271,18.05,35.34715667,-117.8145217,12,6,17,45,58.6,1183808,8128,-67
17,-1.117188,366,8362,8003,10066,372.83,0.346,354,117,271,18.29,35.34715667,-117.8146,12,6,17,45,58.8,1183828,8204,-67
17.2,-1.117188,359,8434,8073,10136,366.19,0.34,347,117,271,18.63,35.34715833,-117.81468,12,6,17,45,59,1183848,8277,-67
17.39,-1.117188,352,8502,8143,10206,359.57,0.334,340,117,271,18.99,35.34716,-117.8147583,12,6,17,45,59.2,1183867,8351,-67
17.6,-1.179688,344,8575,8210,10273,352.96,0.328,333,117,272,19.36,35.34716167,-117.8148367,12,6,17,45,59.4,1183888,8421,-67
17.8,-1.117188,337,8643,8276,10339,346.02,0.322,326,116,272,19.59,35.34716333,-117.814915,12,6,17,45,59.6,1183908,8491,-68
18,-1.117188,330,8710,8341,10404,339.44,0.316,319,116,272,19.98,35.347165,-117.8149917,12,6,17,45,59.8,1183928,8559,-67
18.21,-1.117188,322,8779,8405,10468,332.87,0.309,312,116,272,20.39,35.34716833,-117.81507,12,6,17,46,0,1183949,8627,-69
18.41,-1.117188,315,8843,8467,10530,325.96,0.303,305,115,272,20.66,35.34717,-117.8151467,12,6,17,46,0.2,1183969,8692,-68
18.6,-1.179688,308,8902,8527,10590,320.35,0.298,299,115,272,21.04,35.34717167,-117.8152233,12,6,17,46,0.4,1183988,8756,-69
18.8,-1.117188,301,8963,8586,10649,312.53,0.291,291,114,272,21.39,35.347175,-117.8153,12,6,17,46,0.6,1184008,8818,-69
