Flight,Acc,Acc,Acc,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,,,,TelemPro,LineOfSight,DownLink
time,acceleration,velocity,altitude,altitude,altitude,3D velocity,3D velocity,vertical vel,ground speed,heading,tilt,latitude,longitude,number,fix,UTC,UTC,UTC,time,Distance,SignalStrength
sec,G's,feet/sec,feet AGL,feet AGL,feet MSL,feet/sec,Mach,feet/sec,feet/sec,degrees,degrees,degrees,degrees,of sat's,status,hours,minutes,seconds,stamp,feet,dBm
6.00,-1.496094,636.00,2370.00,2137.00,4216.00,624.87,0.568,592.00,200.00,286,18.67,35.34739333,-117.81088667,11,6,22,48,1.20,338896,2270,-61
6.20,-1.437500,627.00,2496.00,2255.00,4334.00,616.03,0.560,583.00,199.00,286,18.85,35.34742333,-117.81101500,11,6,22,48,1.40,338916,2395,-71
6.41,-1.496094,616.00,2627.00,2370.00,4449.00,606.24,0.552,573.00,198.00,286,19.06,35.34745500,-117.81114333,11,6,22,48,1.60,338937,2516,-62
6.60,-1.378906,607.00,2743.00,2484.00,4563.00,597.42,0.544,564.00,197.00,286,19.25,35.34748500,-117.81127000,11,6,22,48,1.80,338956,2637,-58
6.80,-1.437500,598.00,2864.00,2596.00,4675.00,588.59,0.536,555.00,196.00,286,19.45,35.34751333,-117.81139667,11,6,22,48,2.00,338976,2756,-59
7.00,-1.437500,589.00,2983.00,2706.00,4785.00,579.78,0.528,546.00,195.00,286,19.65,35.34754333,-117.81152333,11,6,22,48,2.20,338996,2872,-63
7.20,-1.378906,580.00,3100.00,2815.00,4894.00,570.97,0.520,537.00,194.00,286,19.86,35.34757333,-117.81164833,11,6,22,48,2.40,339016,2988,-75
7.40,-1.378906,572.00,3215.00,2921.00,5000.00,563.11,0.513,529.00,193.00,286,20.04,35.34760167,-117.81177333,11,6,22,48,2.60,339036,3101,-64
7.60,-1.378906,562.00,3328.00,3026.00,5105.00,554.31,0.505,520.00,192.00,286,20.27,35.34763167,-117.81189667,11,6,22,48,2.80,339056,3213,-59
7.80,-1.378906,554.00,3440.00,3129.00,5208.00,545.88,0.498,511.00,192.00,286,20.59,35.34766000,-117.81202167,11,6,22,48,3.00,339076,3322,-59
8.00,-1.437500,545.00,3550.00,3231.00,5310.00,538.04,0.491,503.00,191.00,286,20.79,35.34768833,-117.81214500,11,6,22,48,3.20,339096,3431,-63
8.20,-1.378906,536.00,3658.00,3331.00,5410.00,530.21,0.484,495.00,190.00,286,21.00,35.34771667,-117.81226667,11,6,22,48,3.40,339116,3538,-67
8.40,-1.320312,528.00,3765.00,3429.00,5508.00,521.46,0.476,486.00,189.00,286,21.25,35.34774500,-117.81239000,11,6,22,48,3.60,339136,3643,-76
8.60,-1.378906,519.00,3870.00,3525.00,5604.00,513.64,0.469,478.00,188.00,286,21.47,35.34777333,-117.81251167,11,6,22,48,3.80,339156,3746,-66
8.80,-1.199219,510.00,3973.00,3620.00,5699.00,506.21,0.463,470.00,188.00,286,21.80,35.34780167,-117.81263167,11,6,22,48,4.00,339176,3848,-63
9.00,-1.320312,502.00,4074.00,3714.00,5793.00,498.41,0.456,462.00,187.00,286,22.04,35.34783000,-117.81275333,11,6,22,48,4.20,339196,3949,-60
